match_group_id,in_CDHES,in_UN_TRC,in_UN_TRC_2,in_Rescate,date,geocode,perp1,perp2
17455,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17456,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17457,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17458,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17459,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17460,0,0,0,1,1985-09-10,100000,ARMY,UNKNOWN
17461,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17462,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17463,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17464,0,0,0,1,1983-05-07,61800,DEATH SQUAD,UNKNOWN
17465,0,0,0,1,1983-05-07,61800,DEATH SQUAD,UNKNOWN
17466,0,0,0,1,1984-07-17,90600,ARMY,UNKNOWN
17467,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17468,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17469,0,0,0,1,1985-09-01,111600,OTHER,UNKNOWN
17470,0,0,0,1,1983-02-01,80100,DEATH SQUAD,UNKNOWN
17471,0,0,0,1,1982-06-14,60600,DEATH SQUAD,UNKNOWN
17472,0,0,0,1,1982-06-15,20100,DEATH SQUAD,UNKNOWN
17473,0,0,0,1,1981-12-12,131500,ARMY,UNKNOWN
17474,0,0,0,1,1981-12-12,131500,ARMY,UNKNOWN
17475,0,0,0,1,1982-06-17,20200,DEATH SQUAD,UNKNOWN
17476,0,0,0,1,1982-06-17,60100,OTHER,UNKNOWN
17477,0,0,0,1,1981-12-12,131500,ARMY,UNKNOWN
17478,0,0,0,1,1981-12-12,131500,ARMY,UNKNOWN
17479,0,0,0,1,1981-12-12,131500,ARMY,UNKNOWN
17480,0,0,0,1,1981-12-12,131500,ARMY,UNKNOWN
17481,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17482,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17483,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17484,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17485,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17486,0,0,0,1,1984-07-22,90200,ARMY,UNKNOWN
17487,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17488,0,0,0,1,1982-10-10,20000,DEATH SQUAD,UNKNOWN
17489,0,0,0,1,1982-06-25,60300,DEATH SQUAD,UNKNOWN
17490,0,0,0,1,1985-09-28,20100,ARMY,UNKNOWN
17491,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17492,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17493,0,0,0,1,1982-06-28,43300,DEATH SQUAD,UNKNOWN
17494,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17495,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17496,0,0,0,1,1983-05-20,60300,DEATH SQUAD,UNKNOWN
17497,0,0,0,1,1983-05-20,20200,DEATH SQUAD,UNKNOWN
17498,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17499,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17500,0,0,0,1,1984-07-29,31200,OTHER,UNKNOWN
17501,0,0,0,1,1984-07-31,132100,PARAMILITARY,UNKNOWN
17502,0,0,0,1,1981-12-12,130200,ARMY,UNKNOWN
17503,0,0,0,1,1982-07-01,61000,DEATH SQUAD,PARAMILITARY
17504,0,0,0,1,1982-07-01,61000,DEATH SQUAD,PARAMILITARY
17505,0,0,0,1,1982-07-01,10100,DEATH SQUAD,PARAMILITARY
17506,0,0,0,1,1983-02-12,60100,DEATH SQUAD,UNKNOWN
17507,0,0,0,1,1983-02-12,60100,DEATH SQUAD,UNKNOWN
17508,0,0,0,1,1983-02-12,51000,DEATH SQUAD,UNKNOWN
17509,0,0,0,1,1982-07-01,120100,PARAMILITARY,DEATH SQUAD
17510,0,0,0,1,1985-05-29,120100,ARMY,UNKNOWN
17511,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17512,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17513,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17514,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17515,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17516,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17517,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17518,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17519,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17520,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17521,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
17522,0,0,0,1,1981-12-13,10000,ARMY,UNKNOWN
